White	WhiteWin	Draw	BlackWin	Black
G1-Q-S1-S1	100.0	0.0	0.0	G1-Q-S1-B1
G1-Q-S1-S1	100.0	0.0	0.0	G1-Q-B1-A1
G1-Q-S1-S1	0.0	100.0	0.0	G1-Q-A1-P
G1-Q-S1-S1	100.0	0.0	0.0	B1-S1-S2-Q
G1-Q-S1-S1	100.0	0.0	0.0	B1-Q-S1-S1
G1-Q-S1-S1	0.0	0.0	100.0	B1-Q-S1-A1
G1-Q-S1-S1	100.0	0.0	0.0	B1-Q-G1-A1
G1-Q-S1-S1	0.0	100.0	0.0	B1-Q-A1-A2
G1-Q-S1-S1	100.0	0.0	0.0	B1-Q-A1-A1
G1-Q-S1-S1	100.0	0.0	0.0	A1-Q-S1-A2
G1-Q-S1-P	0.0	0.0	100.0	G1-Q-A1-P
G1-Q-S1-M1	0.0	0.0	100.0	Q-A1-A1-S1
G1-Q-S1-B1	0.0	0.0	100.0	B1-Q-Q-B1
G1-Q-S1-A1	100.0	0.0	0.0	G1-Q-G2-Q
G1-Q-S1-A1	100.0	0.0	0.0	G1-Q-G2-G2
G1-Q-S1-A1	100.0	0.0	0.0	B1-Q-Q-B1
G1-Q-S1-A1	0.0	0.0	100.0	B1-Q-G1-S1
G1-Q-S1-A1	100.0	0.0	0.0	B1-Q-G1-A1
G1-Q-Q-G1	0.0	100.0	0.0	Q-A1-A1-A2
G1-Q-M1-A1	100.0	0.0	0.0	S1-Q-A1-A1
G1-Q-G2-G2	0.0	0.0	100.0	L1-M1-Q-A1
G1-Q-G2-G2	100.0	0.0	0.0	G1-M1-Q-A1
G1-Q-G2-G2	100.0	0.0	0.0	G1-A1-Q-M1
G1-Q-G2-A1	0.0	0.0	100.0	L1-M1-Q-A1
G1-Q-B1-B1	100.0	0.0	0.0	Q-S1-S2-M1
G1-Q-B1-B1	100.0	0.0	0.0	Q-A1-G1-A1
G1-Q-B1-B1	100.0	0.0	0.0	P-Q-A1-G1
G1-Q-B1-A1	0.0	100.0	0.0	Q-S1-B1-S1
G1-Q-B1-A1	0.0	0.0	100.0	B1-G1-Q-A1
G1-Q-A1-S1	100.0	0.0	0.0	S1-G1-M1-Q
G1-Q-A1-S1	0.0	100.0	0.0	M1-Q-L1-S1
G1-Q-A1-S1	100.0	0.0	0.0	L1-M1-Q-A1
G1-Q-A1-S1	100.0	0.0	0.0	G1-Q-S1-A1
G1-Q-A1-S1	0.0	0.0	100.0	G1-Q-P-S1
G1-Q-A1-S1	100.0	0.0	0.0	G1-Q-M1-A1
G1-Q-A1-S1	100.0	0.0	0.0	G1-Q-B1-M1
G1-Q-A1-S1	100.0	0.0	0.0	G1-Q-B1-G2
G1-Q-A1-S1	0.0	0.0	100.0	G1-Q-A1-A1
G1-Q-A1-S1	0.0	0.0	100.0	G1-M1-Q-A1
G1-Q-A1-S1	0.0	0.0	100.0	B1-Q-S1-S1
G1-Q-A1-P	100.0	0.0	0.0	G1-Q-S1-P
G1-Q-A1-P	0.0	0.0	100.0	G1-Q-G2-A1
G1-Q-A1-M1	100.0	0.0	0.0	S1-S2-Q-S2
G1-Q-A1-M1	100.0	0.0	0.0	S1-Q-S2-S2
G1-Q-A1-M1	100.0	0.0	0.0	Q-S1-S1-A1
G1-Q-A1-M1	100.0	0.0	0.0	M1-Q-L1-S1
G1-Q-A1-M1	100.0	0.0	0.0	L1-M1-Q-A1
G1-Q-A1-M1	0.0	0.0	100.0	G1-Q-S1-G2
G1-Q-A1-M1	100.0	0.0	0.0	G1-Q-P-M1
G1-Q-A1-M1	0.0	0.0	100.0	G1-Q-G2-G2
G1-Q-A1-M1	0.0	0.0	100.0	G1-Q-A1-A1
G1-Q-A1-M1	100.0	0.0	0.0	G1-A1-Q-A1
G1-Q-A1-M1	0.0	100.0	0.0	B1-Q-M1-A1
G1-Q-A1-G2	0.0	100.0	0.0	L1-Q-G1-A1
G1-Q-A1-G2	0.0	0.0	100.0	L1-M1-Q-A1
G1-Q-A1-G2	0.0	0.0	100.0	G1-Q-S1-S1
G1-Q-A1-G2	0.0	0.0	100.0	G1-Q-S1-A1
G1-Q-A1-G2	0.0	0.0	100.0	G1-Q-M1-A1
G1-Q-A1-G2	0.0	0.0	100.0	B1-Q-S1-S1
G1-Q-A1-G2	0.0	100.0	0.0	B1-Q-Q-B1
G1-Q-A1-B1	0.0	0.0	100.0	G1-Q-P-A1
G1-Q-A1-B1	0.0	0.0	100.0	B1-Q-S1-S1
G1-Q-A1-A2	100.0	0.0	0.0	S1-Q-B1-B1
G1-Q-A1-A2	0.0	0.0	100.0	L1-Q-S1-S1
G1-Q-A1-A2	0.0	0.0	100.0	L1-Q-M1-S1
G1-Q-A1-A2	0.0	0.0	100.0	L1-Q-B1-A1
G1-Q-A1-A2	100.0	0.0	0.0	L1-G1-Q-A1
G1-Q-A1-A2	0.0	0.0	100.0	G1-Q-S1-A1
G1-Q-A1-A2	100.0	0.0	0.0	G1-Q-P-A1
G1-Q-A1-A2	100.0	0.0	0.0	G1-Q-G2-S1
G1-Q-A1-A2	0.0	0.0	100.0	G1-Q-B1-S1
G1-Q-A1-A2	100.0	0.0	0.0	G1-Q-B1-A1
G1-Q-A1-A2	0.0	0.0	100.0	G1-Q-A1-A1
G1-Q-A1-A2	0.0	0.0	100.0	G1-P-Q-S1
G1-Q-A1-A2	100.0	0.0	0.0	B1-Q-S1-G1
G1-Q-A1-A1	100.0	0.0	0.0	S1-Q-S2-B1
G1-Q-A1-A1	0.0	0.0	100.0	S1-Q-A1-A1
G1-Q-A1-A1	100.0	0.0	0.0	S1-A1-Q-A2
G1-Q-A1-A1	100.0	0.0	0.0	P-Q-S1-A1
G1-Q-A1-A1	100.0	0.0	0.0	L1-Q-S1-S2
G1-Q-A1-A1	100.0	0.0	0.0	L1-Q-M1-A1
G1-Q-A1-A1	0.0	0.0	100.0	L1-M1-Q-S1
G1-Q-A1-A1	0.0	0.0	100.0	L1-M1-Q-M1
G1-Q-A1-A1	0.0	100.0	0.0	L1-G1-Q-A1
G1-Q-A1-A1	100.0	0.0	0.0	L1-A1-Q-A2
G1-Q-A1-A1	100.0	0.0	0.0	G1-S1-S2-Q
G1-Q-A1-A1	100.0	0.0	0.0	G1-Q-S1-S2
G1-Q-A1-A1	100.0	0.0	0.0	G1-Q-G2-S1
G1-Q-A1-A1	100.0	0.0	0.0	G1-Q-G2-G2
G1-Q-A1-A1	100.0	0.0	0.0	G1-Q-A1-P
G1-Q-A1-A1	0.0	100.0	0.0	G1-Q-A1-G2
G1-Q-A1-A1	100.0	0.0	0.0	G1-Q-A1-B1
G1-Q-A1-A1	100.0	0.0	0.0	G1-M1-Q-S1
G1-Q-A1-A1	0.0	0.0	100.0	G1-L1-Q-L1
G1-Q-A1-A1	0.0	100.0	0.0	G1-G2-Q-G2
G1-Q-A1-A1	100.0	0.0	0.0	G1-A1-Q-G2
G1-Q-A1-A1	0.0	0.0	100.0	G1-A1-Q-A2
G1-Q-A1-A1	0.0	100.0	0.0	B1-Q-Q-M1
G1-Q-A1-A1	100.0	0.0	0.0	B1-Q-Q-B1
G1-Q-A1-A1	100.0	0.0	0.0	B1-Q-G1-S1
G1-Q-A1-A1	100.0	0.0	0.0	B1-Q-A1-P
G1-Q-A1-A1	0.0	0.0	100.0	B1-G1-Q-A1
G1-M1-Q-M1	0.0	0.0	100.0	B1-Q-M1-A1
G1-M1-Q-A1	0.0	0.0	100.0	B1-Q-A1-M1
G1-M1-A1-Q	0.0	0.0	100.0	L1-Q-S1-S1
G1-M1-A1-Q	100.0	0.0	0.0	L1-A1-Q-A1
G1-M1-A1-Q	0.0	0.0	100.0	B1-M1-Q-A1
G1-L1-S1-Q	0.0	0.0	100.0	L1-Q-P-A1
G1-L1-A1-Q	0.0	0.0	100.0	L1-M1-Q-A1
G1-G2-Q-G2	0.0	0.0	100.0	G1-Q-S1-S1
G1-G2-Q-G2	0.0	0.0	100.0	G1-Q-A1-A1
G1-G2-Q-G2	0.0	0.0	100.0	B1-Q-A1-A1
G1-G2-Q-A1	0.0	0.0	100.0	B1-Q-A1-A1
G1-G2-A1-Q	100.0	0.0	0.0	B1-M1-Q-M1
G1-G2-A1-Q	100.0	0.0	0.0	B1-M1-Q-A1
G1-B1-Q-S1	0.0	0.0	100.0	L1-M1-Q-A1
G1-B1-Q-S1	0.0	0.0	100.0	G1-Q-G2-G2
G1-B1-Q-A1	0.0	0.0	100.0	L1-M1-Q-A1
G1-B1-A1-Q	0.0	0.0	100.0	B1-Q-Q-S1
G1-A1-S1-Q	100.0	0.0	0.0	G1-Q-B1-S1
G1-A1-Q-S1	100.0	0.0	0.0	L1-Q-M1-S1
G1-A1-Q-S1	100.0	0.0	0.0	L1-Q-M1-A1
G1-A1-Q-S1	100.0	0.0	0.0	G1-Q-S1-S2
G1-A1-Q-S1	100.0	0.0	0.0	G1-Q-S1-G2
G1-A1-Q-S1	0.0	0.0	100.0	G1-Q-P-A1
G1-A1-Q-S1	100.0	0.0	0.0	G1-Q-B1-S1
G1-A1-Q-S1	0.0	0.0	100.0	G1-Q-A1-A1
G1-A1-Q-S1	0.0	0.0	100.0	G1-G2-Q-G2
G1-A1-Q-S1	100.0	0.0	0.0	G1-B1-Q-S1
G1-A1-Q-S1	100.0	0.0	0.0	B1-S1-Q-S1
G1-A1-Q-S1	100.0	0.0	0.0	B1-Q-M1-M1
G1-A1-Q-S1	0.0	0.0	100.0	B1-M1-Q-A1
G1-A1-Q-P	0.0	0.0	100.0	L1-Q-S1-S1
G1-A1-Q-P	0.0	0.0	100.0	G1-Q-S1-S1
G1-A1-Q-P	100.0	0.0	0.0	G1-Q-S1-G2
G1-A1-Q-P	100.0	0.0	0.0	B1-Q-S1-P
G1-A1-Q-M1	100.0	0.0	0.0	S1-Q-M1-A1
G1-A1-Q-M1	0.0	0.0	100.0	S1-G1-A1-Q
G1-A1-Q-M1	100.0	0.0	0.0	L1-M1-Q-A1
G1-A1-Q-M1	0.0	0.0	100.0	B1-Q-M1-M1
G1-A1-Q-G2	100.0	0.0	0.0	B1-Q-S1-G1
G1-A1-Q-B1	100.0	0.0	0.0	L1-G1-Q-A1
G1-A1-Q-B1	100.0	0.0	0.0	G1-Q-P-S1
G1-A1-Q-A2	0.0	0.0	100.0	P-Q-S1-A1
G1-A1-Q-A2	100.0	0.0	0.0	L1-Q-M1-S1
G1-A1-Q-A2	100.0	0.0	0.0	G1-S1-Q-S1
G1-A1-Q-A2	100.0	0.0	0.0	G1-Q-P-G2
G1-A1-Q-A2	100.0	0.0	0.0	G1-Q-G2-S1
G1-A1-Q-A2	0.0	100.0	0.0	G1-Q-G2-A1
G1-A1-Q-A2	100.0	0.0	0.0	G1-Q-B1-S1
G1-A1-Q-A2	100.0	0.0	0.0	G1-P-Q-A1
G1-A1-Q-A2	100.0	0.0	0.0	G1-G2-Q-S1
G1-A1-Q-A2	0.0	0.0	100.0	G1-G2-Q-A1
G1-A1-Q-A2	100.0	0.0	0.0	G1-B1-Q-S1
G1-A1-Q-A2	100.0	0.0	0.0	B1-Q-S1-S2
G1-A1-Q-A2	0.0	0.0	100.0	B1-Q-S1-A1
G1-A1-Q-A2	100.0	0.0	0.0	B1-Q-P-S1
G1-A1-Q-A2	100.0	0.0	0.0	B1-Q-G1-S1
G1-A1-Q-A2	100.0	0.0	0.0	B1-A1-Q-M1
G1-A1-Q-A1	0.0	0.0	100.0	S1-Q-S2-S2
G1-A1-Q-A1	100.0	0.0	0.0	S1-Q-A1-S2
G1-A1-Q-A1	100.0	0.0	0.0	S1-Q-A1-Q
G1-A1-Q-A1	100.0	0.0	0.0	S1-Q-A1-G1
G1-A1-Q-A1	100.0	0.0	0.0	S1-A1-A2-Q
G1-A1-Q-A1	100.0	0.0	0.0	P-Q-S1-S2
G1-A1-Q-A1	0.0	0.0	100.0	P-Q-S1-A1
G1-A1-Q-A1	0.0	0.0	100.0	P-Q-A1-A2
G1-A1-Q-A1	0.0	0.0	100.0	P-G1-Q-A1
G1-A1-Q-A1	100.0	0.0	0.0	M1-Q-L1-S1
G1-A1-Q-A1	0.0	0.0	100.0	M1-P-Q-A1
G1-A1-Q-A1	0.0	0.0	100.0	L1-Q-M1-M1
G1-A1-Q-A1	100.0	0.0	0.0	L1-Q-G1-A1
G1-A1-Q-A1	0.0	0.0	100.0	L1-Q-A1-A1
G1-A1-Q-A1	100.0	0.0	0.0	G1-S1-S2-Q
G1-A1-Q-A1	0.0	0.0	100.0	G1-Q-S1-P
G1-A1-Q-A1	100.0	0.0	0.0	G1-Q-S1-M1
G1-A1-Q-A1	100.0	0.0	0.0	G1-Q-P-B1
G1-A1-Q-A1	0.0	0.0	100.0	G1-Q-M1-A1
G1-A1-Q-A1	100.0	0.0	0.0	G1-Q-G2-G2
G1-A1-Q-A1	0.0	0.0	100.0	G1-Q-B1-A1
G1-A1-Q-A1	100.0	0.0	0.0	G1-Q-A1-G2
G1-A1-Q-A1	100.0	0.0	0.0	G1-P-Q-A1
G1-A1-Q-A1	0.0	100.0	0.0	G1-M1-Q-S1
G1-A1-Q-A1	100.0	0.0	0.0	G1-B1-Q-A1
G1-A1-Q-A1	100.0	0.0	0.0	G1-A1-Q-M1
G1-A1-Q-A1	100.0	0.0	0.0	G1-A1-Q-G2
G1-A1-Q-A1	100.0	0.0	0.0	G1-A1-A2-Q
G1-A1-Q-A1	100.0	0.0	0.0	B1-Q-Q-G1
G1-A1-Q-A1	0.0	0.0	100.0	B1-Q-M1-A1
G1-A1-Q-A1	100.0	0.0	0.0	B1-Q-A1-S1
G1-A1-Q-A1	100.0	0.0	0.0	B1-Q-A1-M1
G1-A1-Q-A1	100.0	0.0	0.0	A1-A2-Q-G1
G1-A1-M1-Q	0.0	0.0	100.0	L1-Q-A1-A1
G1-A1-M1-Q	100.0	0.0	0.0	G1-L1-Q-P
B1-S1-S2-Q	0.0	0.0	100.0	G1-Q-S1-G2
B1-S1-Q-S2	0.0	0.0	100.0	L1-Q-A1-A1
B1-Q-S1-S1	0.0	100.0	0.0	G1-Q-S1-S1
B1-Q-S1-S1	100.0	0.0	0.0	G1-Q-S1-A1
B1-Q-S1-G1	0.0	0.0	100.0	Q-A1-A1-A2
B1-Q-S1-A1	100.0	0.0	0.0	G1-Q-B1-B1
B1-Q-G1-S1	0.0	0.0	100.0	B1-Q-S1-S1
B1-Q-A1-S1	100.0	0.0	0.0	Q-A1-A1-S1
B1-Q-A1-S1	100.0	0.0	0.0	G1-Q-S1-A1
B1-Q-A1-P	0.0	0.0	100.0	G1-Q-M1-A1
B1-Q-A1-A2	0.0	0.0	100.0	G1-Q-S1-S1
B1-Q-A1-A2	0.0	0.0	100.0	G1-Q-G2-S1
B1-Q-A1-A1	100.0	0.0	0.0	L1-Q-M1-M1
B1-Q-A1-A1	0.0	100.0	0.0	G1-Q-S1-A1
B1-Q-A1-A1	100.0	0.0	0.0	G1-Q-B1-A1
B1-Q-A1-A1	100.0	0.0	0.0	G1-A1-Q-A2
B1-Q-A1-A1	100.0	0.0	0.0	B1-Q-S1-A1
B1-Q-A1-A1	100.0	0.0	0.0	B1-Q-A1-A2
B1-P-Q-A1	0.0	0.0	100.0	G1-Q-B1-B1
B1-G1-G2-Q	0.0	0.0	100.0	Q-A1-A2-A1
B1-B2-Q-S1	0.0	0.0	100.0	G1-Q-A1-A1
B1-A1-Q-S1	100.0	0.0	0.0	G1-Q-G2-A1
B1-A1-Q-S1	100.0	0.0	0.0	B1-Q-S1-G1
B1-A1-Q-M1	100.0	0.0	0.0	L1-Q-A1-M1
B1-A1-Q-M1	100.0	0.0	0.0	L1-M1-Q-A1
B1-A1-Q-A2	0.0	0.0	100.0	G1-Q-S1-S2
B1-A1-Q-A2	100.0	0.0	0.0	G1-B1-Q-S1
B1-A1-Q-A1	0.0	100.0	0.0	M1-G1-Q-A1
B1-A1-Q-A1	0.0	0.0	100.0	L1-G1-Q-S1
B1-A1-Q-A1	0.0	100.0	0.0	L1-G1-Q-A1
B1-A1-Q-A1	0.0	0.0	100.0	G1-Q-G2-A1
B1-A1-Q-A1	100.0	0.0	0.0	G1-G2-Q-G2
B1-A1-Q-A1	100.0	0.0	0.0	G1-G2-Q-B1
B1-A1-Q-A1	100.0	0.0	0.0	G1-G2-Q-A1
B1-A1-Q-A1	100.0	0.0	0.0	G1-A1-S1-Q
B1-A1-Q-A1	100.0	0.0	0.0	B1-Q-Q-A1
B1-A1-Q-A1	100.0	0.0	0.0	B1-Q-G1-A1
B1-A1-Q-A1	100.0	0.0	0.0	B1-Q-A1-S1
B1-A1-Q-A1	0.0	0.0	100.0	B1-Q-A1-A2
B1-A1-Q-A1	100.0	0.0	0.0	B1-Q-A1-A1
B1-A1-Q-A1	100.0	0.0	0.0	B1-P-Q-A1
B1-A1-Q-A1	100.0	0.0	0.0	B1-G1-Q-A1
A1-G1-Q-S1	0.0	0.0	100.0	G1-S1-Q-S1
S1-Q-A1-A2	0.0	0.0	0.0	P-M1-Q-A1
S1-Q-A1-A1	0.0	0.0	0.0	G1-Q-A1-A1
S1-G1-Q-A1	0.0	0.0	0.0	S1-B1-Q-S2
S1-A1-Q-A1	0.0	0.0	0.0	G1-Q-A1-S1
S1-A1-M1-Q	0.0	0.0	0.0	B1-G1-Q-S1
P-Q-S1-S1	0.0	0.0	0.0	B1-Q-A1-A2
P-Q-A1-A1	0.0	0.0	0.0	M1-Q-A1-A1
P-Q-A1-A1	0.0	0.0	0.0	G1-Q-S1-B1
P-A1-Q-A1	0.0	0.0	0.0	L1-M1-Q-A1
M1-Q-S1-S1	0.0	0.0	0.0	G1-Q-A1-S1
L1-Q-S1-S2	0.0	0.0	0.0	L1-M1-Q-S1
L1-Q-B1-B1	0.0	0.0	0.0	P-Q-S1-M1
L1-Q-B1-B1	0.0	0.0	0.0	P-Q-A1-B1
L1-Q-A1-M1	0.0	0.0	0.0	L1-Q-M1-A1
L1-Q-A1-A2	0.0	0.0	0.0	S1-L1-G1-Q
L1-Q-A1-A1	0.0	0.0	0.0	L1-Q-S1-S1
L1-Q-A1-A1	0.0	0.0	0.0	B1-Q-Q-A1
L1-M1-Q-S1	0.0	0.0	0.0	L1-M1-Q-S1
L1-A1-Q-S1	0.0	0.0	0.0	S1-Q-M1-A1
L1-A1-Q-S1	0.0	0.0	0.0	G1-Q-B1-S1
L1-A1-Q-B1	0.0	0.0	0.0	P-Q-A1-M1
L1-A1-Q-A2	0.0	0.0	0.0	S1-G1-M1-Q
L1-A1-Q-A1	0.0	0.0	0.0	B1-Q-M1-M1
L1-A1-Q-A1	0.0	0.0	0.0	B1-Q-M1-A1
L1-A1-Q-A1	0.0	0.0	0.0	B1-A1-Q-A2
L1-A1-A2-Q	0.0	0.0	0.0	L1-M1-Q-A1
G1-Q-S1-S2	0.0	0.0	0.0	G1-Q-G2-S1
G1-Q-S1-S2	0.0	0.0	0.0	G1-Q-A1-A1
G1-Q-S1-S1	0.0	0.0	0.0	G1-Q-S1-G2
G1-Q-S1-S1	0.0	0.0	0.0	G1-Q-L1-A1
G1-Q-S1-S1	0.0	0.0	0.0	B1-Q-A1-S1
G1-Q-S1-A1	0.0	0.0	0.0	L1-Q-M1-A1
G1-Q-M1-A1	0.0	0.0	0.0	G1-Q-A1-A1
G1-Q-B1-B1	0.0	0.0	0.0	P-Q-A1-B1
G1-Q-B1-B1	0.0	0.0	0.0	P-Q-A1-A2
G1-Q-A1-M1	0.0	0.0	0.0	G1-Q-M1-S1
G1-Q-A1-G2	0.0	0.0	0.0	L1-Q-M1-A1
G1-Q-A1-A2	0.0	0.0	0.0	L1-Q-G1-G1
G1-Q-A1-A2	0.0	0.0	0.0	G1-G2-Q-A1
G1-Q-A1-A1	0.0	0.0	0.0	G1-Q-M1-A1
G1-Q-A1-A1	0.0	0.0	0.0	B1-Q-M1-P
G1-M1-Q-P	0.0	0.0	0.0	G1-Q-A1-M1
G1-G2-Q-S1	0.0	0.0	0.0	G1-A1-Q-S1
G1-B1-A1-Q	0.0	0.0	0.0	A1-A2-G1-Q
G1-A1-Q-S1	0.0	0.0	0.0	B1-S1-Q-S2
G1-A1-Q-G2	0.0	0.0	0.0	G1-Q-B1-P
G1-A1-Q-A2	0.0	0.0	0.0	P-Q-B1-S1
G1-A1-Q-A1	0.0	0.0	0.0	S1-Q-A1-A1
G1-A1-Q-A1	0.0	0.0	0.0	L1-A1-Q-M1
G1-A1-Q-A1	0.0	0.0	0.0	G1-S1-Q-S1
G1-A1-Q-A1	0.0	0.0	0.0	B1-Q-A1-G1
G1-A1-Q-A1	0.0	0.0	0.0	A1-A2-Q-Q
B1-Q-Q-A1	0.0	0.0	0.0	G1-Q-B1-A1
B1-Q-A1-A1	0.0	0.0	0.0	B1-Q-G1-A1
B1-Q-A1-A1	0.0	0.0	0.0	B1-Q-A1-Q
B1-M1-Q-M1	0.0	0.0	0.0	L1-A1-Q-A1
B1-A1-Q-A1	0.0	0.0	0.0	L1-M1-Q-A1
